product_id	 product_name	 brand_id	 category_id	 model_year	 list_price	
1	'Trek 820 - 2016'	9	6	2016	379.9	1
<<<<<<< HEAD
2	'Ritchey Timberwolf Frameset - 2016'	5	6	2016	749.9	1
3	'Surly Wednesday Frameset - 2016'	8	6	2016	999.9	2
4	'Trek Fuel EX 8 29 - 2016'	9	6	2016	2899.9	3
5	'Heller Shagamaw Frame - 2016'	3	6	2016	1320.9	0
6	'Surly Ice Cream Truck Frameset - 2016'	8	6	2016	469.9	1
7	'Trek Slash 8 27.5 - 2016'	9	6	2016	3999.9	2
8	'Trek Remedy 29 Carbon Frameset - 2016'	9	6	2016	1799.9	3
9	'Trek Conduit+ - 2016'	9	5	2016	2999.9	0
10	'Surly Straggler - 2016'	8	4	2016	154	4
11	'Surly Straggler 650b - 2016'	8	4	2016	1680.9	6
12	'Electra Townie Original 21D - 2016'	1	3	2016	549.9	7
13	'Electra Cruiser 1 (24-Inch) - 2016'	1	3	2016	269.9	8
14	'Electra Girl''s Hawaii 1 (16-inch) - 2015/2016'	1	3	2016	269.9	2
15	'Electra Moto 1 - 2016'	1	3	2016	529.9	1
16	'Electra Townie Original 7D EQ - 2016'	1	3	2016	599.9	2
17	'Pure Cycles Vine 8-Speed - 2016'	4	3	2016	42	3
18	'Pure Cycles Western 3-Speed - Women''s - 2015/2016'	4	3	2016	44	3
19	'Pure Cycles William 3-Speed - 2016'	4	3	2016	44	4
20	'Electra Townie Original 7D EQ - Women''s - 2016'	1	3	2016	599.9	6
21	'Electra Cruiser 1 (24-Inch) - 2016'	1	1	2016	269.9	7
22	'Electra Girl''s Hawaii 1 (16-inch) - 2015/2016'	1	1	2016	269.9	8
23	'Electra Girl''s Hawaii 1 (20-inch) - 2015/2016'	1	1	2016	299.9	4
24	'Electra Townie Original 21D - 2016'	1	2	2016	549.9	1
25	'Electra Townie Original 7D - 2015/2016'	1	2	2016	499.9	2
26	'Electra Townie Original 7D EQ - 2016'	1	2	2016	599.9	1
27	'Surly Big Dummy Frameset - 2017'	8	6	2017	999.9	1
28	'Surly Karate Monkey 27.5+ Frameset - 2017'	8	6	2017	2499.9	2
29	'Trek X-Caliber 8 - 2017'	9	6	2017	999.9	3
30	'Surly Ice Cream Truck Frameset - 2017'	8	6	2017	999.9	0
31	'Surly Wednesday - 2017'	8	6	2017	1632.9	1
32	'Trek Farley Alloy Frameset - 2017'	9	6	2017	469.9	2
33	'Surly Wednesday Frameset - 2017'	8	6	2017	469.9	3
34	'Trek Session DH 27.5 Carbon Frameset - 2017'	9	6	2017	469.9	0
35	'Sun Bicycles Spider 3i - 2017'	7	6	2017	832.9	4
36	'Surly Troll Frameset - 2017'	8	6	2017	832.9	6
37	'Haro Flightline One ST - 2017'	2	6	2017	379.9	7
38	'Haro Flightline Two 26 Plus - 2017'	2	6	2017	549.9	8
39	'Trek Stache 5 - 2017'	9	6	2017	1499.9	2
40	'Trek Fuel EX 9.8 29 - 2017'	9	6	2017	4999.9	1
41	'Haro Shift R3 - 2017'	2	6	2017	1469.9	2
42	'Trek Fuel EX 5 27.5 Plus - 2017'	9	6	2017	2299.9	3
43	'Trek Fuel EX 9.8 27.5 Plus - 2017'	9	6	2017	5299.9	3
44	'Haro SR 1.1 - 2017'	2	6	2017	539.9	4
45	'Haro SR 1.2 - 2017'	2	6	2017	869.9	6
46	'Haro SR 1.3 - 2017'	2	6	2017	1409.9	7
47	'Trek Remedy 9.8 - 2017'	9	6	2017	5299.9	8
48	'Trek Emonda S 4 - 2017'	9	7	2017	1499.9	4
49	'Trek Domane SL 6 - 2017'	9	7	2017	3499.9	1
50	'Trek Silque SLR 7 Women''s - 2017'	9	7	2017	5999.9	2
51	'Trek Silque SLR 8 Women''s - 2017'	9	7	2017	6499.9	1
52	'Surly Steamroller - 2017'	8	7	2017	875.9	2
53	'Surly Ogre Frameset - 2017'	8	7	2017	749.9	3
54	'Trek Domane SL Disc Frameset - 2017'	9	7	2017	3199.9	0
55	'Trek Domane S 6 - 2017'	9	7	2017	2699.9	1
56	'Trek Domane SLR 6 Disc - 2017'	9	7	2017	5499.9	2
57	'Trek Emonda S 5 - 2017'	9	7	2017	1999.9	3
58	'Trek Madone 9.2 - 2017'	9	7	2017	4999.9	0
59	'Trek Domane S 5 Disc - 2017'	9	7	2017	2599.9	4
60	'Sun Bicycles ElectroLite - 2017'	7	5	2017	1559.9	6
61	'Trek Powerfly 8 FS Plus - 2017'	9	5	2017	4999.9	7
62	'Trek Boone 7 - 2017'	9	4	2017	3499.9	8
63	'Trek Boone Race Shop Limited - 2017'	9	4	2017	3499.9	2
64	'Electra Townie Original 7D - 2017'	1	3	2017	489.9	1
65	'Sun Bicycles Lil Bolt Type-R - 2017'	7	3	2017	346.9	2
66	'Sun Bicycles Revolutions 24 - 2017'	7	3	2017	250.9	3
67	'Sun Bicycles Revolutions 24 - Girl''s - 2017'	7	3	2017	250.9	3
68	'Sun Bicycles Cruz 3 - 2017'	7	3	2017	449.9	4
69	'Sun Bicycles Cruz 7 - 2017'	7	3	2017	416.9	6
70	'Electra Amsterdam Original 3i - 2015/2017'	1	3	2017	659.9	7
71	'Sun Bicycles Atlas X-Type - 2017'	7	3	2017	416.9	8
72	'Sun Bicycles Biscayne Tandem 7 - 2017'	7	3	2017	619.9	4
73	'Sun Bicycles Brickell Tandem 7 - 2017'	7	3	2017	749.9	1
74	'Electra Cruiser Lux 1 - 2017'	1	3	2017	439.9	2
75	'Electra Cruiser Lux Fat Tire 1 Ladies - 2017'	1	3	2017	599.9	1
76	"'Electra Girl''s Hawaii 1 16"" - 2017'"	1	3	2017	299.9	1
77	'Electra Glam Punk 3i Ladies'' - 2017'	1	3	2017	799.9	2
78	'Sun Bicycles Biscayne Tandem CB - 2017'	7	3	2017	647.9	3
79	'Sun Bicycles Boardwalk (24-inch Wheels) - 2017'	7	3	2017	402.9	0
80	'Sun Bicycles Brickell Tandem CB - 2017'	7	3	2017	761.9	1
81	'Electra Amsterdam Fashion 7i Ladies'' - 2017'	1	3	2017	1099.9	2
82	'Electra Amsterdam Original 3i Ladies'' - 2017'	1	3	2017	659.9	3
83	'Trek Boy''s Kickster - 2015/2017'	9	1	2017	149.9	0
84	'Sun Bicycles Lil Kitt''n - 2017'	7	1	2017	109.9	4
85	'Haro Downtown 16 - 2017'	2	1	2017	329.9	6
86	'Trek Girl''s Kickster - 2017'	9	1	2017	149.9	7
87	'Trek Precaliber 12 Boys - 2017'	9	1	2017	189.9	8
88	'Trek Precaliber 12 Girls - 2017'	9	1	2017	189.9	2
89	'Trek Precaliber 16 Boys - 2017'	9	1	2017	209.9	1
90	'Trek Precaliber 16 Girls - 2017'	9	1	2017	209.9	2
91	'Trek Precaliber 24 (21-Speed) - Girls - 2017'	9	1	2017	349.9	3
92	'Haro Shredder 20 - 2017'	2	1	2017	209.9	3
93	'Haro Shredder 20 Girls - 2017'	2	1	2017	209.9	4
94	'Haro Shredder Pro 20 - 2017'	2	1	2017	249.9	6
95	"'Electra Girl''s Hawaii 1 16"" - 2017'"	1	1	2017	299.9	7
96	'Electra Moto 3i (20-inch) - Boy''s - 2017'	1	1	2017	349.9	8
97	'Electra Savannah 3i (20-inch) - Girl''s - 2017'	1	1	2017	349.9	4
98	'Electra Straight 8 3i (20-inch) - Boy''s - 2017'	1	1	2017	489.9	1
99	'Electra Sugar Skulls 1 (20-inch) - Girl''s - 2017'	1	1	2017	299.9	2
100	'Electra Townie 3i EQ (20-inch) - Boys'' - 2017'	1	1	2017	489.9	1
101	'Electra Townie 7D (20-inch) - Boys'' - 2017'	1	1	2017	339.9	1
102	'Electra Townie Original 7D - 2017'	1	2	2017	489.9	2
103	'Sun Bicycles Streamway 3 - 2017'	7	2	2017	551.9	3
104	'Sun Bicycles Streamway - 2017'	7	2	2017	481.9	0
105	'Sun Bicycles Streamway 7 - 2017'	7	2	2017	533.9	1
106	'Sun Bicycles Cruz 3 - 2017'	7	2	2017	449.9	2
107	'Sun Bicycles Cruz 7 - 2017'	7	2	2017	416.9	3
108	'Sun Bicycles Cruz 3 - Women''s - 2017'	7	2	2017	449.9	0
109	'Sun Bicycles Cruz 7 - Women''s - 2017'	7	2	2017	416.9	4
110	'Sun Bicycles Drifter 7 - 2017'	7	2	2017	470.9	6
111	'Sun Bicycles Drifter 7 - Women''s - 2017'	7	2	2017	470.9	7
112	'Trek 820 - 2018'	9	6	2018	379.9	8
113	'Trek Marlin 5 - 2018'	9	6	2018	489.9	2
114	'Trek Marlin 6 - 2018'	9	6	2018	579.9	1
115	'Trek Fuel EX 8 29 - 2018'	9	6	2018	3199.9	2
116	'Trek Marlin 7 - 2017/2018'	9	6	2018	749.9	3
117	'Trek Ticket S Frame - 2018'	9	6	2018	1469.9	3
118	'Trek X-Caliber 8 - 2018'	9	6	2018	999.9	4
119	'Trek Kids'' Neko - 2018'	9	6	2018	469.9	6
120	'Trek Fuel EX 7 29 - 2018'	9	6	2018	2499.9	7
121	'Surly Krampus Frameset - 2018'	8	6	2018	2499.9	8
122	'Surly Troll Frameset - 2018'	8	6	2018	2499.9	4
123	'Trek Farley Carbon Frameset - 2018'	9	6	2018	999.9	1
124	'Surly Krampus - 2018'	8	6	2018	149	2
125	'Trek Kids'' Dual Sport - 2018'	9	6	2018	469.9	1
126	'Surly Big Fat Dummy Frameset - 2018'	8	6	2018	469.9	1
127	'Surly Pack Rat Frameset - 2018'	8	6	2018	469.9	2
128	'Surly ECR 27.5 - 2018'	8	6	2018	189	3
129	'Trek X-Caliber 7 - 2018'	9	6	2018	919.9	0
130	'Trek Stache Carbon Frameset - 2018'	9	6	2018	919.9	1
131	'Heller Bloodhound Trail - 2018'	3	6	2018	259	2
132	'Trek Procal AL Frameset - 2018'	9	6	2018	1499.9	3
133	'Trek Procaliber Frameset - 2018'	9	6	2018	1499.9	0
