store_id	 product_id	 quantity	
1	1	27	0
1	2	5	1
1	3	6	2
1	4	23	3
1	5	22	4
1	6	0	5
1	7	8	6
1	8	0	7
1	9	11	8
1	10	15	9
1	11	8	9
1	12	16	8
1	13	13	7
1	14	8	6
1	15	3	5
1	16	4	4
1	17	2	3
1	18	16	2
1	19	4	1
1	20	26	0
1	21	24	1
1	22	29	2
1	23	9	3
1	24	10	4
1	25	10	5
1	26	16	6
1	27	21	7
1	28	20	8
1	29	13	9
1	30	30	9
1	31	2	8
1	32	0	7
1	33	10	6
1	34	2	5
1	35	18	4
1	36	26	3
1	37	12	2
1	38	13	1
1	39	2	0
1	40	24	1
1	41	10	2
1	42	0	3
1	43	2	4
1	44	1	5
1	45	15	6
1	46	19	7
1	47	21	8
1	48	5	9
1	49	8	9
1	50	29	8
1	51	2	7
1	52	18	6
1	53	17	5
1	54	11	4
1	55	11	3
1	56	15	2
1	57	1	1
1	58	1	0
1	59	22	1
1	60	19	2
1	61	30	3
1	62	21	4
1	63	4	5
1	64	30	6
1	65	10	7
1	66	12	8
1	67	19	9
1	68	30	9
1	69	4	8
1	70	3	7
1	71	25	6
1	72	9	5
1	73	7	4
1	74	9	3
1	75	23	2
1	76	15	1
1	77	16	0
1	78	13	1
1	79	13	2
1	80	11	3
1	81	25	4
1	82	1	5
1	83	13	6
1	84	11	7
1	85	23	8
1	86	19	9
1	87	27	9
1	88	7	8
1	89	9	7
1	90	4	6
1	91	8	5
1	92	0	4
1	93	22	3
1	94	6	2
1	95	25	1
1	96	20	0
1	97	20	1
1	98	28	2
1	99	28	3
1	100	15	4
1	101	17	5
1	102	9	6
1	103	13	7
1	104	25	8
1	105	7	9
1	106	30	9
1	107	20	8
1	108	15	7
1	109	30	6
1	110	1	5
1	111	11	4
1	112	17	3
1	113	24	2
1	114	3	1
1	115	10	0
1	116	24	1
1	117	15	2
1	118	12	3
1	119	17	4
1	120	23	5
1	121	19	6
1	122	22	7
1	123	8	8
1	124	23	9
1	125	22	9
1	126	28	8
1	127	12	7
1	128	11	6
1	129	21	5
1	130	22	4
1	131	20	3
1	132	1	2
1	133	9	1
1	134	26	0
1	135	15	1
1	136	12	2
1	137	12	3
1	138	6	4
1	139	17	5
1	140	3	6
1	141	21	7
1	142	22	8
1	143	19	9
1	144	7	9
1	145	5	8
1	146	6	7
1	147	8	6
1	148	6	5
1	149	1	4
1	150	22	3
1	151	24	2
1	152	12	1
1	153	25	0
1	154	13	1
1	155	8	2
1	156	13	3
1	157	25	4
1	158	11	5
1	159	18	6
1	160	0	7
1	161	17	8
1	162	14	9
1	163	0	9
1	164	15	8
1	165	16	7
1	166	23	6
1	167	28	5
1	168	0	4
1	169	25	3
1	170	14	2
1	171	3	1
1	172	3	0
1	173	2	1
1	174	26	2
1	175	2	3
1	176	11	4
1	177	19	5
1	178	23	6
1	179	16	7
1	180	5	8
1	181	19	9
1	182	28	9
1	183	11	8
1	184	4	7
1	185	3	6
1	186	1	5
1	187	16	4
1	188	30	3
1	189	6	2
1	190	21	1
1	191	21	0
1	192	20	1
1	193	30	2
1	194	24	3
1	195	1	4
1	196	26	5
1	197	22	6
1	198	1	7
1	199	2	8
1	200	27	9
1	201	16	9
1	202	5	8
1	203	4	7
1	204	23	6
1	205	9	5
1	206	10	4
1	207	27	3
1	208	13	2
1	209	22	1
1	210	25	0
1	211	13	1
1	212	17	2
1	213	14	3
1	214	4	4
1	215	1	5
1	216	11	6
1	217	11	7
1	218	27	8
1	219	30	9
1	220	4	9
1	221	7	8
1	222	12	7
1	223	3	6
1	224	16	5
1	225	24	4
1	226	18	3
1	227	19	2
1	228	22	1
1	229	27	0
1	230	7	1
1	231	25	2
1	232	5	3
1	233	5	4
1	234	13	5
1	235	7	6
1	236	18	7
1	237	26	8
1	238	20	9
1	239	28	9
1	240	17	8
1	241	17	7
1	242	10	6
1	243	11	5
1	244	10	4
1	245	3	3
1	246	0	2
1	247	15	1
1	248	14	0
1	249	27	1
1	250	3	2
1	251	2	3
1	252	28	4
1	253	16	5
1	254	24	6
1	255	13	7
1	256	20	8
1	257	17	9
1	258	25	9
1	259	10	8
1	260	20	7
1	261	3	6
1	262	6	5
1	263	21	4
1	264	16	3
1	265	28	2
1	266	1	1
1	267	27	0
1	268	23	1
1	269	22	2
1	270	16	3
1	271	6	4
1	272	14	5
1	273	20	6
1	274	19	7
1	275	28	8
1	276	7	9
1	277	13	9
1	278	17	8
1	279	17	7
1	280	23	6
1	281	11	5
1	282	6	4
1	283	10	3
1	284	27	2
1	285	20	1
1	286	28	0
1	287	2	1
1	288	9	2
1	289	2	3
1	290	8	4
1	291	9	5
1	292	30	6
1	293	18	7
1	294	3	8
1	295	24	9
1	296	9	9
1	297	22	8
1	298	26	7
1	299	18	6
1	300	7	5
1	301	10	4
1	302	0	3
1	303	12	2
1	304	15	1
1	305	23	0
1	306	21	1
1	307	17	2
1	308	23	3
1	309	7	4
1	310	18	5
1	311	20	6
1	312	23	7
1	313	14	8
2	1	14	9
2	2	16	9
2	3	28	8
2	4	2	7
2	5	1	6
2	6	11	5
2	7	8	4
2	8	1	3
2	9	17	2
2	10	13	1
2	11	21	0
2	12	2	1
2	13	1	2
2	14	18	3
2	15	6	4
2	16	20	5
2	17	3	6
2	18	13	7
2	19	15	8
2	20	20	9
2	21	16	9
2	22	0	8
2	23	12	7
2	24	16	6
2	25	18	5
2	26	2	4
2	27	10	3
2	28	25	2
2	29	29	1
2	30	17	0
2	31	10	1
2	32	13	2
2	33	8	3
2	34	24	4
2	35	25	5
2	36	15	6
2	37	5	7
2	38	18	8
2	39	28	9
2	40	15	9
2	41	6	8
2	42	16	7
2	43	2	6
2	44	24	5
2	45	13	4
2	46	18	3
2	47	0	2
2	48	20	1
2	49	4	0
2	50	7	1
2	51	8	2
2	52	23	3
2	53	19	4
2	54	6	5
2	55	5	6
2	56	20	7
2	57	27	8
2	58	15	9
2	59	17	9
2	60	1	8
2	61	20	7
2	62	4	6
2	63	5	5
2	64	30	4
2	65	16	3
2	66	22	2
2	67	8	1
2	68	23	0
2	69	22	1
2	70	6	2
2	71	30	3
2	72	1	4
2	73	20	5
2	74	23	6
2	75	11	7
2	76	20	8
2	77	25	9
2	78	4	9
2	79	29	8
2	80	27	7
2	81	19	6
2	82	4	5
2	83	21	4
2	84	22	3
2	85	6	2
2	86	24	1
2	87	14	0
2	88	8	1
2	89	8	2
2	90	26	3
2	91	0	4
2	92	22	5
2	93	22	6
2	94	2	7
2	95	10	8
2	96	22	9
2	97	15	9
2	98	14	8
2	99	24	7
2	100	12	6
2	101	4	5
2	102	12	4
2	103	1	3
2	104	26	2
2	105	3	1
2	106	7	0
2	107	29	1
2	108	29	2
2	109	25	3
2	110	7	4
2	111	6	5
2	112	1	6
2	113	7	7
2	114	12	8
2	115	19	9
2	116	17	9
2	117	18	8
2	118	25	7
2	119	23	6
2	120	16	5
2	121	3	4
2	122	11	3
2	123	18	2
2	124	4	1
2	125	10	0
2	126	13	1
2	127	12	2
2	128	28	3
2	129	21	4
2	130	17	5
2	131	9	6
2	132	6	7
2	133	28	8
2	134	13	9
2	135	30	9
2	136	8	8
2	137	1	7
2	138	16	6
2	139	24	5
2	140	13	4
2	141	28	3
2	142	24	2
2	143	12	1
2	144	4	0
2	145	23	1
2	146	3	2
2	147	13	3
2	148	27	4
2	149	22	5
2	150	7	6
2	151	2	7
2	152	21	8
2	153	21	9
2	154	9	9
2	155	21	8
2	156	8	7
2	157	28	6
2	158	0	5
2	159	30	4
2	160	4	3
2	161	9	2
2	162	18	1
2	163	30	0
2	164	9	1
2	165	6	2
2	166	27	3
2	167	1	4
2	168	29	5
2	169	1	6
2	170	2	7
2	171	28	8
2	172	16	9
2	173	17	9
2	174	8	8
2	175	0	7
2	176	26	6
2	177	9	5
2	178	1	4
2	179	16	3
2	180	3	2
2	181	29	1
2	182	21	0
2	183	26	1
2	184	0	2
2	185	4	3
2	186	16	4
2	187	10	5
2	188	27	6
2	189	13	7
2	190	18	8
2	191	15	9
2	192	0	9
2	193	21	8
2	194	15	7
2	195	19	6
2	196	28	5
2	197	10	4
2	198	0	3
2	199	13	2
2	200	11	1
2	201	24	0
2	202	1	1
2	203	7	2
2	204	25	3
2	205	13	4
2	206	9	5
2	207	8	6
2	208	12	7
2	209	11	8
2	210	10	9
2	211	4	9
2	212	22	8
2	213	10	7
2	214	7	6
2	215	11	5
2	216	19	4
2	217	22	3
2	218	26	2
2	219	16	1
2	220	6	0
2	221	12	1
2	222	30	2
2	223	7	3
2	224	4	4
2	225	11	5
2	226	5	6
2	227	12	7
2	228	7	8
2	229	29	9
2	230	25	9
2	231	8	8
2	232	11	7
2	233	25	6
2	234	12	5
2	235	4	4
2	236	7	3
2	237	30	2
2	238	6	1
2	239	17	0
2	240	19	1
2	241	24	2
2	242	2	3
2	243	18	4
2	244	1	5
2	245	18	6
2	246	10	7
2	247	16	8
2	248	26	9
2	249	10	9
2	250	23	8
2	251	0	7
2	252	20	6
2	253	29	5
2	254	7	4
2	255	12	3
2	256	8	2
2	257	5	1
2	258	10	0
2	259	16	1
2	260	20	2
2	261	4	3
2	262	8	4
2	263	4	5
2	264	13	6
2	265	4	7
2	266	18	8
2	267	21	9
2	268	3	9
2	269	4	8
2	270	15	7
2	271	26	6
2	272	1	5
2	273	28	4
2	274	15	3
2	275	3	2
2	276	9	1
2	277	4	0
2	278	8	1
2	279	18	2
2	280	11	3
2	281	3	4
2	282	8	5
2	283	28	6
2	284	6	7
2	285	22	8
2	286	3	9
2	287	15	9
2	288	13	8
2	289	5	7
2	290	29	6
2	291	22	5
2	292	22	4
2	293	12	3
2	294	7	2
2	295	15	1
2	296	8	0
2	297	7	1
2	298	27	2
2	299	0	3
2	300	13	4
2	301	26	5
2	302	6	6
2	303	23	7
2	304	6	8
2	305	21	9
2	306	17	9
2	307	18	8
2	308	15	7
2	309	9	6
2	310	5	5
2	311	27	4
2	312	2	3
2	313	24	2
3	1	14	1
3	2	24	0
3	3	0	1
3	4	11	2
3	5	3	3
3	6	27	4
3	7	12	5
3	8	12	6
3	9	23	7
3	10	21	8
3	11	30	9
3	12	30	9
3	13	19	8
3	14	4	7
3	15	22	6
3	16	19	5
3	17	22	4
3	18	5	3
3	19	24	2
3	20	19	1
3	21	8	0
3	22	20	1
3	23	8	2
3	24	18	3
3	25	15	4
3	26	27	5
3	27	21	6
3	28	20	7
3	29	11	8
3	30	23	9
3	31	10	9
3	32	14	8
3	33	14	7
3	34	6	6
3	35	3	5
3	36	28	4
3	37	30	3
3	38	23	2
3	39	22	1
3	40	2	0
3	41	25	1
3	42	9	2
3	43	26	3
3	44	26	4
3	45	1	5
3	46	16	6
3	47	14	7
3	48	2	8
3	49	4	9
3	50	25	9
3	51	2	8
3	52	8	7
3	53	6	6
3	54	13	5
3	55	5	4
3	56	19	3
